TaskID,Name,Type,GoalValue,RewardType,RewardValue,Tier,StarterTask,Description,Tag
TASK_056,Role任务 056,Role,40,Gold|Core|Meta,130,2,0,完成条件示意 Role,TAG_TASK_Role
TASK_057,Kill任务 057,Kill,10,Gold|Core|Meta,132,3,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_058,Build任务 058,Build,15,Gold|Core|Meta,134,1,0,完成条件示意 Build,TAG_TASK_Build
TASK_059,Boss任务 059,Boss,20,Gold|Core|Meta,136,2,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_060,Economy任务 060,Economy,25,Gold|Core|Meta,138,3,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_061,Combo任务 061,Combo,30,Gold|Core|Meta,140,1,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_062,Facility任务 062,Facility,35,Gold|Core|Meta,142,2,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_063,Map任务 063,Map,40,Gold|Core|Meta,144,3,0,完成条件示意 Map,TAG_TASK_Map
TASK_064,Role任务 064,Role,10,Gold|Core|Meta,146,1,0,完成条件示意 Role,TAG_TASK_Role
TASK_065,Kill任务 065,Kill,15,Gold|Core|Meta,148,2,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_066,Build任务 066,Build,20,Gold|Core|Meta,150,3,0,完成条件示意 Build,TAG_TASK_Build
TASK_067,Boss任务 067,Boss,25,Gold|Core|Meta,152,1,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_068,Economy任务 068,Economy,30,Gold|Core|Meta,154,2,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_069,Combo任务 069,Combo,35,Gold|Core|Meta,156,3,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_070,Facility任务 070,Facility,40,Gold|Core|Meta,158,1,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_071,Map任务 071,Map,10,Gold|Core|Meta,160,2,0,完成条件示意 Map,TAG_TASK_Map
TASK_072,Role任务 072,Role,15,Gold|Core|Meta,162,3,0,完成条件示意 Role,TAG_TASK_Role
TASK_073,Kill任务 073,Kill,20,Gold|Core|Meta,164,1,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_074,Build任务 074,Build,25,Gold|Core|Meta,166,2,0,完成条件示意 Build,TAG_TASK_Build
TASK_075,Boss任务 075,Boss,30,Gold|Core|Meta,168,3,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_076,Economy任务 076,Economy,35,Gold|Core|Meta,170,1,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_077,Combo任务 077,Combo,40,Gold|Core|Meta,172,2,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_078,Facility任务 078,Facility,10,Gold|Core|Meta,174,3,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_079,Map任务 079,Map,15,Gold|Core|Meta,176,1,0,完成条件示意 Map,TAG_TASK_Map
TASK_080,Role任务 080,Role,20,Gold|Core|Meta,178,2,0,完成条件示意 Role,TAG_TASK_Role
TASK_081,Kill任务 081,Kill,25,Gold|Core|Meta,180,3,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_082,Build任务 082,Build,30,Gold|Core|Meta,182,1,0,完成条件示意 Build,TAG_TASK_Build
TASK_083,Boss任务 083,Boss,35,Gold|Core|Meta,184,2,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_084,Economy任务 084,Economy,40,Gold|Core|Meta,186,3,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_085,Combo任务 085,Combo,10,Gold|Core|Meta,188,1,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_086,Facility任务 086,Facility,15,Gold|Core|Meta,190,2,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_087,Map任务 087,Map,20,Gold|Core|Meta,192,3,0,完成条件示意 Map,TAG_TASK_Map
TASK_088,Role任务 088,Role,25,Gold|Core|Meta,194,1,0,完成条件示意 Role,TAG_TASK_Role
TASK_089,Kill任务 089,Kill,30,Gold|Core|Meta,196,2,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_090,Build任务 090,Build,35,Gold|Core|Meta,198,3,0,完成条件示意 Build,TAG_TASK_Build
TASK_091,Boss任务 091,Boss,40,Gold|Core|Meta,200,1,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_092,Economy任务 092,Economy,10,Gold|Core|Meta,202,2,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_093,Combo任务 093,Combo,15,Gold|Core|Meta,204,3,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_094,Facility任务 094,Facility,20,Gold|Core|Meta,206,1,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_095,Map任务 095,Map,25,Gold|Core|Meta,208,2,0,完成条件示意 Map,TAG_TASK_Map
TASK_096,Role任务 096,Role,30,Gold|Core|Meta,210,3,0,完成条件示意 Role,TAG_TASK_Role
