CurveID,MapID,TimeSec,Phase,ThreatBudget,SpawnInterval,RareRate,EliteRate,LegendRate,BossFlag
MAP_FREEZER_019,MAP_FREEZER,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_FREEZER_020,MAP_FREEZER,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_FREEZER_021,MAP_FREEZER,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_FREEZER_022,MAP_FREEZER,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_FREEZER_023,MAP_FREEZER,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_FREEZER_024,MAP_FREEZER,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_FREEZER_025,MAP_FREEZER,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_FREEZER_026,MAP_FREEZER,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_FREEZER_027,MAP_FREEZER,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_FREEZER_028,MAP_FREEZER,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_FREEZER_029,MAP_FREEZER,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_FREEZER_030,MAP_FREEZER,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_FREEZER_031,MAP_FREEZER,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_FREEZER_032,MAP_FREEZER,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_FREEZER_033,MAP_FREEZER,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_FREEZER_034,MAP_FREEZER,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_FREEZER_035,MAP_FREEZER,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_FREEZER_036,MAP_FREEZER,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_FREEZER_037,MAP_FREEZER,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_FREEZER_038,MAP_FREEZER,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_FREEZER_039,MAP_FREEZER,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_FREEZER_040,MAP_FREEZER,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_FREEZER_041,MAP_FREEZER,600,End,238,0.25,0.35,0.18,0.05,Y
MAP_REACTOR_001,MAP_REACTOR,0,Early,8,1.25,0.03,0.01,0,N
MAP_REACTOR_002,MAP_REACTOR,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_REACTOR_003,MAP_REACTOR,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_REACTOR_004,MAP_REACTOR,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_REACTOR_005,MAP_REACTOR,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_REACTOR_006,MAP_REACTOR,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_REACTOR_007,MAP_REACTOR,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_REACTOR_008,MAP_REACTOR,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_REACTOR_009,MAP_REACTOR,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_REACTOR_010,MAP_REACTOR,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_REACTOR_011,MAP_REACTOR,150,Mid,34.62,1,0.113,0.072,0,N
MAP_REACTOR_012,MAP_REACTOR,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_REACTOR_013,MAP_REACTOR,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_REACTOR_014,MAP_REACTOR,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_REACTOR_015,MAP_REACTOR,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_REACTOR_016,MAP_REACTOR,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_REACTOR_017,MAP_REACTOR,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_REACTOR_018,MAP_REACTOR,255,Mid,65.31,0.82,0.172,0.116,0,N
MAP_REACTOR_019,MAP_REACTOR,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_REACTOR_020,MAP_REACTOR,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_REACTOR_021,MAP_REACTOR,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_REACTOR_022,MAP_REACTOR,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_REACTOR_023,MAP_REACTOR,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_REACTOR_024,MAP_REACTOR,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_REACTOR_025,MAP_REACTOR,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_REACTOR_026,MAP_REACTOR,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_REACTOR_027,MAP_REACTOR,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_REACTOR_028,MAP_REACTOR,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_REACTOR_029,MAP_REACTOR,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_REACTOR_030,MAP_REACTOR,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_REACTOR_031,MAP_REACTOR,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_REACTOR_032,MAP_REACTOR,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_REACTOR_033,MAP_REACTOR,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_REACTOR_034,MAP_REACTOR,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_REACTOR_035,MAP_REACTOR,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_REACTOR_036,MAP_REACTOR,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_REACTOR_037,MAP_REACTOR,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_REACTOR_038,MAP_REACTOR,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_REACTOR_039,MAP_REACTOR,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_REACTOR_040,MAP_REACTOR,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_REACTOR_041,MAP_REACTOR,600,End,238,0.25,0.35,0.18,0.05,N
MAP_REACTOR_042,MAP_REACTOR,615,End,247.85,0.23,0.35,0.18,0.05,N
MAP_REACTOR_043,MAP_REACTOR,630,End,257.9,0.2,0.35,0.18,0.05,N
MAP_REACTOR_044,MAP_REACTOR,645,End,268.16,0.18,0.35,0.18,0.05,N
MAP_REACTOR_045,MAP_REACTOR,660,End,278.62,0.18,0.35,0.18,0.05,N
MAP_REACTOR_046,MAP_REACTOR,675,End,289.28,0.18,0.35,0.18,0.05,N
MAP_REACTOR_047,MAP_REACTOR,690,End,300.14,0.18,0.35,0.18,0.05,N
MAP_REACTOR_048,MAP_REACTOR,705,End,311.21,0.18,0.35,0.18,0.05,N
MAP_REACTOR_049,MAP_REACTOR,720,End,322.48,0.18,0.35,0.18,0.05,Y
MAP_DRILL_001,MAP_DRILL,0,Early,8,1.25,0.03,0.01,0,N
MAP_DRILL_002,MAP_DRILL,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_DRILL_003,MAP_DRILL,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_DRILL_004,MAP_DRILL,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_DRILL_005,MAP_DRILL,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_DRILL_006,MAP_DRILL,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_DRILL_007,MAP_DRILL,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_DRILL_008,MAP_DRILL,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_DRILL_009,MAP_DRILL,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_DRILL_010,MAP_DRILL,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_DRILL_011,MAP_DRILL,150,Mid,34.62,1,0.113,0.072,0,N
MAP_DRILL_012,MAP_DRILL,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_DRILL_013,MAP_DRILL,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_DRILL_014,MAP_DRILL,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_DRILL_015,MAP_DRILL,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_DRILL_016,MAP_DRILL,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_DRILL_017,MAP_DRILL,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_DRILL_018,MAP_DRILL,255,Mid,65.31,0.82,0.172,0.116,0,N
MAP_DRILL_019,MAP_DRILL,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_DRILL_020,MAP_DRILL,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_DRILL_021,MAP_DRILL,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_DRILL_022,MAP_DRILL,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_DRILL_023,MAP_DRILL,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_DRILL_024,MAP_DRILL,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_DRILL_025,MAP_DRILL,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_DRILL_026,MAP_DRILL,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_DRILL_027,MAP_DRILL,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_DRILL_028,MAP_DRILL,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_DRILL_029,MAP_DRILL,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_DRILL_030,MAP_DRILL,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_DRILL_031,MAP_DRILL,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_DRILL_032,MAP_DRILL,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_DRILL_033,MAP_DRILL,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_DRILL_034,MAP_DRILL,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_DRILL_035,MAP_DRILL,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_DRILL_036,MAP_DRILL,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_DRILL_037,MAP_DRILL,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_DRILL_038,MAP_DRILL,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_DRILL_039,MAP_DRILL,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_DRILL_040,MAP_DRILL,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_DRILL_041,MAP_DRILL,600,End,238,0.25,0.35,0.18,0.05,N
MAP_DRILL_042,MAP_DRILL,615,End,247.85,0.23,0.35,0.18,0.05,N
MAP_DRILL_043,MAP_DRILL,630,End,257.9,0.2,0.35,0.18,0.05,N
MAP_DRILL_044,MAP_DRILL,645,End,268.16,0.18,0.35,0.18,0.05,N
MAP_DRILL_045,MAP_DRILL,660,End,278.62,0.18,0.35,0.18,0.05,N
MAP_DRILL_046,MAP_DRILL,675,End,289.28,0.18,0.35,0.18,0.05,N
MAP_DRILL_047,MAP_DRILL,690,End,300.14,0.18,0.35,0.18,0.05,N
MAP_DRILL_048,MAP_DRILL,705,End,311.21,0.18,0.35,0.18,0.05,N
MAP_DRILL_049,MAP_DRILL,720,End,322.48,0.18,0.35,0.18,0.05,Y
MAP_CASINO_001,MAP_CASINO,0,Early,8,1.25,0.03,0.01,0,N
MAP_CASINO_002,MAP_CASINO,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_CASINO_003,MAP_CASINO,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_CASINO_004,MAP_CASINO,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_CASINO_005,MAP_CASINO,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_CASINO_006,MAP_CASINO,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_CASINO_007,MAP_CASINO,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_CASINO_008,MAP_CASINO,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_CASINO_009,MAP_CASINO,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_CASINO_010,MAP_CASINO,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_CASINO_011,MAP_CASINO,150,Mid,34.62,1,0.113,0.072,0,N
MAP_CASINO_012,MAP_CASINO,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_CASINO_013,MAP_CASINO,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_CASINO_014,MAP_CASINO,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_CASINO_015,MAP_CASINO,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_CASINO_016,MAP_CASINO,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_CASINO_017,MAP_CASINO,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_CASINO_018,MAP_CASINO,255,Mid,65.31,0.82,0.172,0.116,0,N
MAP_CASINO_019,MAP_CASINO,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_CASINO_020,MAP_CASINO,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_CASINO_021,MAP_CASINO,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_CASINO_022,MAP_CASINO,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_CASINO_023,MAP_CASINO,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_CASINO_024,MAP_CASINO,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_CASINO_025,MAP_CASINO,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_CASINO_026,MAP_CASINO,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_CASINO_027,MAP_CASINO,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_CASINO_028,MAP_CASINO,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_CASINO_029,MAP_CASINO,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_CASINO_030,MAP_CASINO,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_CASINO_031,MAP_CASINO,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_CASINO_032,MAP_CASINO,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_CASINO_033,MAP_CASINO,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_CASINO_034,MAP_CASINO,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_CASINO_035,MAP_CASINO,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_CASINO_036,MAP_CASINO,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_CASINO_037,MAP_CASINO,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_CASINO_038,MAP_CASINO,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_CASINO_039,MAP_CASINO,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_CASINO_040,MAP_CASINO,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_CASINO_041,MAP_CASINO,600,End,238,0.25,0.35,0.18,0.05,Y
