LocKey,ZH_CN,EN_US,Context,SourceRef
LOC_WPN_028,示例文本 WPN 028,EN Sample WPN 028,UI/Game,WPN:28
LOC_WPN_029,示例文本 WPN 029,EN Sample WPN 029,UI/Game,WPN:29
LOC_WPN_030,示例文本 WPN 030,EN Sample WPN 030,UI/Game,WPN:30
LOC_EVO_001,示例文本 EVO 001,EN Sample EVO 001,UI/Game,EVO:1
LOC_EVO_002,示例文本 EVO 002,EN Sample EVO 002,UI/Game,EVO:2
LOC_EVO_003,示例文本 EVO 003,EN Sample EVO 003,UI/Game,EVO:3
LOC_EVO_004,示例文本 EVO 004,EN Sample EVO 004,UI/Game,EVO:4
LOC_EVO_005,示例文本 EVO 005,EN Sample EVO 005,UI/Game,EVO:5
LOC_EVO_006,示例文本 EVO 006,EN Sample EVO 006,UI/Game,EVO:6
LOC_EVO_007,示例文本 EVO 007,EN Sample EVO 007,UI/Game,EVO:7
LOC_EVO_008,示例文本 EVO 008,EN Sample EVO 008,UI/Game,EVO:8
LOC_EVO_009,示例文本 EVO 009,EN Sample EVO 009,UI/Game,EVO:9
LOC_EVO_010,示例文本 EVO 010,EN Sample EVO 010,UI/Game,EVO:10
LOC_SK_001,示例文本 SK 001,EN Sample SK 001,UI/Game,SK:1
LOC_SK_002,示例文本 SK 002,EN Sample SK 002,UI/Game,SK:2
LOC_SK_003,示例文本 SK 003,EN Sample SK 003,UI/Game,SK:3
LOC_SK_004,示例文本 SK 004,EN Sample SK 004,UI/Game,SK:4
LOC_SK_005,示例文本 SK 005,EN Sample SK 005,UI/Game,SK:5
LOC_SK_006,示例文本 SK 006,EN Sample SK 006,UI/Game,SK:6
LOC_SK_007,示例文本 SK 007,EN Sample SK 007,UI/Game,SK:7
LOC_SK_008,示例文本 SK 008,EN Sample SK 008,UI/Game,SK:8
LOC_SK_009,示例文本 SK 009,EN Sample SK 009,UI/Game,SK:9
LOC_SK_010,示例文本 SK 010,EN Sample SK 010,UI/Game,SK:10
LOC_SK_011,示例文本 SK 011,EN Sample SK 011,UI/Game,SK:11
LOC_SK_012,示例文本 SK 012,EN Sample SK 012,UI/Game,SK:12
LOC_SK_013,示例文本 SK 013,EN Sample SK 013,UI/Game,SK:13
LOC_SK_014,示例文本 SK 014,EN Sample SK 014,UI/Game,SK:14
LOC_SK_015,示例文本 SK 015,EN Sample SK 015,UI/Game,SK:15
LOC_SK_016,示例文本 SK 016,EN Sample SK 016,UI/Game,SK:16
LOC_SK_017,示例文本 SK 017,EN Sample SK 017,UI/Game,SK:17
LOC_SK_018,示例文本 SK 018,EN Sample SK 018,UI/Game,SK:18
LOC_SK_019,示例文本 SK 019,EN Sample SK 019,UI/Game,SK:19
LOC_SK_020,示例文本 SK 020,EN Sample SK 020,UI/Game,SK:20
LOC_SK_021,示例文本 SK 021,EN Sample SK 021,UI/Game,SK:21
LOC_SK_022,示例文本 SK 022,EN Sample SK 022,UI/Game,SK:22
LOC_SK_023,示例文本 SK 023,EN Sample SK 023,UI/Game,SK:23
LOC_SK_024,示例文本 SK 024,EN Sample SK 024,UI/Game,SK:24
LOC_SK_025,示例文本 SK 025,EN Sample SK 025,UI/Game,SK:25
LOC_SK_026,示例文本 SK 026,EN Sample SK 026,UI/Game,SK:26
LOC_SK_027,示例文本 SK 027,EN Sample SK 027,UI/Game,SK:27
LOC_SK_028,示例文本 SK 028,EN Sample SK 028,UI/Game,SK:28
LOC_SK_029,示例文本 SK 029,EN Sample SK 029,UI/Game,SK:29
LOC_SK_030,示例文本 SK 030,EN Sample SK 030,UI/Game,SK:30
LOC_SK_031,示例文本 SK 031,EN Sample SK 031,UI/Game,SK:31
LOC_SK_032,示例文本 SK 032,EN Sample SK 032,UI/Game,SK:32
LOC_SK_033,示例文本 SK 033,EN Sample SK 033,UI/Game,SK:33
LOC_SK_034,示例文本 SK 034,EN Sample SK 034,UI/Game,SK:34
LOC_SK_035,示例文本 SK 035,EN Sample SK 035,UI/Game,SK:35
LOC_SK_036,示例文本 SK 036,EN Sample SK 036,UI/Game,SK:36
LOC_SK_037,示例文本 SK 037,EN Sample SK 037,UI/Game,SK:37
LOC_SK_038,示例文本 SK 038,EN Sample SK 038,UI/Game,SK:38
LOC_SK_039,示例文本 SK 039,EN Sample SK 039,UI/Game,SK:39
LOC_SK_040,示例文本 SK 040,EN Sample SK 040,UI/Game,SK:40
LOC_MOLE_001,示例文本 MOLE 001,EN Sample MOLE 001,UI/Game,MOLE:1
LOC_MOLE_002,示例文本 MOLE 002,EN Sample MOLE 002,UI/Game,MOLE:2
LOC_MOLE_003,示例文本 MOLE 003,EN Sample MOLE 003,UI/Game,MOLE:3
LOC_MOLE_004,示例文本 MOLE 004,EN Sample MOLE 004,UI/Game,MOLE:4
LOC_MOLE_005,示例文本 MOLE 005,EN Sample MOLE 005,UI/Game,MOLE:5
LOC_MOLE_006,示例文本 MOLE 006,EN Sample MOLE 006,UI/Game,MOLE:6
LOC_MOLE_007,示例文本 MOLE 007,EN Sample MOLE 007,UI/Game,MOLE:7
LOC_MOLE_008,示例文本 MOLE 008,EN Sample MOLE 008,UI/Game,MOLE:8
LOC_MOLE_009,示例文本 MOLE 009,EN Sample MOLE 009,UI/Game,MOLE:9
LOC_MOLE_010,示例文本 MOLE 010,EN Sample MOLE 010,UI/Game,MOLE:10
LOC_MOLE_011,示例文本 MOLE 011,EN Sample MOLE 011,UI/Game,MOLE:11
LOC_MOLE_012,示例文本 MOLE 012,EN Sample MOLE 012,UI/Game,MOLE:12
LOC_MOLE_013,示例文本 MOLE 013,EN Sample MOLE 013,UI/Game,MOLE:13
LOC_MOLE_014,示例文本 MOLE 014,EN Sample MOLE 014,UI/Game,MOLE:14
LOC_MOLE_015,示例文本 MOLE 015,EN Sample MOLE 015,UI/Game,MOLE:15
LOC_MOLE_016,示例文本 MOLE 016,EN Sample MOLE 016,UI/Game,MOLE:16
LOC_MOLE_017,示例文本 MOLE 017,EN Sample MOLE 017,UI/Game,MOLE:17
LOC_MOLE_018,示例文本 MOLE 018,EN Sample MOLE 018,UI/Game,MOLE:18
LOC_MOLE_019,示例文本 MOLE 019,EN Sample MOLE 019,UI/Game,MOLE:19
LOC_MOLE_020,示例文本 MOLE 020,EN Sample MOLE 020,UI/Game,MOLE:20
LOC_MOLE_021,示例文本 MOLE 021,EN Sample MOLE 021,UI/Game,MOLE:21
LOC_MOLE_022,示例文本 MOLE 022,EN Sample MOLE 022,UI/Game,MOLE:22
LOC_MOLE_023,示例文本 MOLE 023,EN Sample MOLE 023,UI/Game,MOLE:23
LOC_MOLE_024,示例文本 MOLE 024,EN Sample MOLE 024,UI/Game,MOLE:24
LOC_MOLE_025,示例文本 MOLE 025,EN Sample MOLE 025,UI/Game,MOLE:25
LOC_MOLE_026,示例文本 MOLE 026,EN Sample MOLE 026,UI/Game,MOLE:26
LOC_MOLE_027,示例文本 MOLE 027,EN Sample MOLE 027,UI/Game,MOLE:27
LOC_MOLE_028,示例文本 MOLE 028,EN Sample MOLE 028,UI/Game,MOLE:28
LOC_MOLE_029,示例文本 MOLE 029,EN Sample MOLE 029,UI/Game,MOLE:29
LOC_MOLE_030,示例文本 MOLE 030,EN Sample MOLE 030,UI/Game,MOLE:30
LOC_MOLE_031,示例文本 MOLE 031,EN Sample MOLE 031,UI/Game,MOLE:31
LOC_MOLE_032,示例文本 MOLE 032,EN Sample MOLE 032,UI/Game,MOLE:32
LOC_MOLE_033,示例文本 MOLE 033,EN Sample MOLE 033,UI/Game,MOLE:33
LOC_MOLE_034,示例文本 MOLE 034,EN Sample MOLE 034,UI/Game,MOLE:34
LOC_MOLE_035,示例文本 MOLE 035,EN Sample MOLE 035,UI/Game,MOLE:35
LOC_MOLE_036,示例文本 MOLE 036,EN Sample MOLE 036,UI/Game,MOLE:36
LOC_MOLE_037,示例文本 MOLE 037,EN Sample MOLE 037,UI/Game,MOLE:37
LOC_MOLE_038,示例文本 MOLE 038,EN Sample MOLE 038,UI/Game,MOLE:38
LOC_MOLE_039,示例文本 MOLE 039,EN Sample MOLE 039,UI/Game,MOLE:39
LOC_MOLE_040,示例文本 MOLE 040,EN Sample MOLE 040,UI/Game,MOLE:40
LOC_MOLE_041,示例文本 MOLE 041,EN Sample MOLE 041,UI/Game,MOLE:41
LOC_MOLE_042,示例文本 MOLE 042,EN Sample MOLE 042,UI/Game,MOLE:42
LOC_MOLE_043,示例文本 MOLE 043,EN Sample MOLE 043,UI/Game,MOLE:43
LOC_MOLE_044,示例文本 MOLE 044,EN Sample MOLE 044,UI/Game,MOLE:44
LOC_MOLE_045,示例文本 MOLE 045,EN Sample MOLE 045,UI/Game,MOLE:45
LOC_MOLE_046,示例文本 MOLE 046,EN Sample MOLE 046,UI/Game,MOLE:46
LOC_MOLE_047,示例文本 MOLE 047,EN Sample MOLE 047,UI/Game,MOLE:47
LOC_MOLE_048,示例文本 MOLE 048,EN Sample MOLE 048,UI/Game,MOLE:48
LOC_MOLE_049,示例文本 MOLE 049,EN Sample MOLE 049,UI/Game,MOLE:49
LOC_MOLE_050,示例文本 MOLE 050,EN Sample MOLE 050,UI/Game,MOLE:50
LOC_MOLE_051,示例文本 MOLE 051,EN Sample MOLE 051,UI/Game,MOLE:51
LOC_MOLE_052,示例文本 MOLE 052,EN Sample MOLE 052,UI/Game,MOLE:52
LOC_MOLE_053,示例文本 MOLE 053,EN Sample MOLE 053,UI/Game,MOLE:53
LOC_MOLE_054,示例文本 MOLE 054,EN Sample MOLE 054,UI/Game,MOLE:54
LOC_MOLE_055,示例文本 MOLE 055,EN Sample MOLE 055,UI/Game,MOLE:55
LOC_MOLE_056,示例文本 MOLE 056,EN Sample MOLE 056,UI/Game,MOLE:56
LOC_MOLE_057,示例文本 MOLE 057,EN Sample MOLE 057,UI/Game,MOLE:57
LOC_MOLE_058,示例文本 MOLE 058,EN Sample MOLE 058,UI/Game,MOLE:58
LOC_MOLE_059,示例文本 MOLE 059,EN Sample MOLE 059,UI/Game,MOLE:59
LOC_MOLE_060,示例文本 MOLE 060,EN Sample MOLE 060,UI/Game,MOLE:60
LOC_MOLE_061,示例文本 MOLE 061,EN Sample MOLE 061,UI/Game,MOLE:61
LOC_MOLE_062,示例文本 MOLE 062,EN Sample MOLE 062,UI/Game,MOLE:62
LOC_MOLE_063,示例文本 MOLE 063,EN Sample MOLE 063,UI/Game,MOLE:63
LOC_MOLE_064,示例文本 MOLE 064,EN Sample MOLE 064,UI/Game,MOLE:64
LOC_MOLE_065,示例文本 MOLE 065,EN Sample MOLE 065,UI/Game,MOLE:65
LOC_MOLE_066,示例文本 MOLE 066,EN Sample MOLE 066,UI/Game,MOLE:66
LOC_MOLE_067,示例文本 MOLE 067,EN Sample MOLE 067,UI/Game,MOLE:67
LOC_MOLE_068,示例文本 MOLE 068,EN Sample MOLE 068,UI/Game,MOLE:68
LOC_MOLE_069,示例文本 MOLE 069,EN Sample MOLE 069,UI/Game,MOLE:69
LOC_MOLE_070,示例文本 MOLE 070,EN Sample MOLE 070,UI/Game,MOLE:70
LOC_MOLE_071,示例文本 MOLE 071,EN Sample MOLE 071,UI/Game,MOLE:71
LOC_MOLE_072,示例文本 MOLE 072,EN Sample MOLE 072,UI/Game,MOLE:72
LOC_BOSS_001,示例文本 BOSS 001,EN Sample BOSS 001,UI/Game,BOSS:1
LOC_BOSS_002,示例文本 BOSS 002,EN Sample BOSS 002,UI/Game,BOSS:2
LOC_BOSS_003,示例文本 BOSS 003,EN Sample BOSS 003,UI/Game,BOSS:3
LOC_BOSS_004,示例文本 BOSS 004,EN Sample BOSS 004,UI/Game,BOSS:4
LOC_BOSS_005,示例文本 BOSS 005,EN Sample BOSS 005,UI/Game,BOSS:5
LOC_BOSS_006,示例文本 BOSS 006,EN Sample BOSS 006,UI/Game,BOSS:6
LOC_BOSS_007,示例文本 BOSS 007,EN Sample BOSS 007,UI/Game,BOSS:7
LOC_BOSS_008,示例文本 BOSS 008,EN Sample BOSS 008,UI/Game,BOSS:8
LOC_EV_001,示例文本 EV 001,EN Sample EV 001,UI/Game,EV:1
LOC_EV_002,示例文本 EV 002,EN Sample EV 002,UI/Game,EV:2
LOC_EV_003,示例文本 EV 003,EN Sample EV 003,UI/Game,EV:3
LOC_EV_004,示例文本 EV 004,EN Sample EV 004,UI/Game,EV:4
LOC_EV_005,示例文本 EV 005,EN Sample EV 005,UI/Game,EV:5
LOC_EV_006,示例文本 EV 006,EN Sample EV 006,UI/Game,EV:6
LOC_EV_007,示例文本 EV 007,EN Sample EV 007,UI/Game,EV:7
LOC_EV_008,示例文本 EV 008,EN Sample EV 008,UI/Game,EV:8
LOC_EV_009,示例文本 EV 009,EN Sample EV 009,UI/Game,EV:9
LOC_EV_010,示例文本 EV 010,EN Sample EV 010,UI/Game,EV:10
LOC_EV_011,示例文本 EV 011,EN Sample EV 011,UI/Game,EV:11
LOC_EV_012,示例文本 EV 012,EN Sample EV 012,UI/Game,EV:12
LOC_EV_013,示例文本 EV 013,EN Sample EV 013,UI/Game,EV:13
LOC_EV_014,示例文本 EV 014,EN Sample EV 014,UI/Game,EV:14
LOC_EV_015,示例文本 EV 015,EN Sample EV 015,UI/Game,EV:15
LOC_EV_016,示例文本 EV 016,EN Sample EV 016,UI/Game,EV:16
LOC_EV_017,示例文本 EV 017,EN Sample EV 017,UI/Game,EV:17
LOC_EV_018,示例文本 EV 018,EN Sample EV 018,UI/Game,EV:18
LOC_EV_019,示例文本 EV 019,EN Sample EV 019,UI/Game,EV:19
LOC_EV_020,示例文本 EV 020,EN Sample EV 020,UI/Game,EV:20
LOC_EV_021,示例文本 EV 021,EN Sample EV 021,UI/Game,EV:21
LOC_EV_022,示例文本 EV 022,EN Sample EV 022,UI/Game,EV:22
LOC_EV_023,示例文本 EV 023,EN Sample EV 023,UI/Game,EV:23
LOC_EV_024,示例文本 EV 024,EN Sample EV 024,UI/Game,EV:24
LOC_EV_025,示例文本 EV 025,EN Sample EV 025,UI/Game,EV:25
LOC_EV_026,示例文本 EV 026,EN Sample EV 026,UI/Game,EV:26
LOC_EV_027,示例文本 EV 027,EN Sample EV 027,UI/Game,EV:27
LOC_EV_028,示例文本 EV 028,EN Sample EV 028,UI/Game,EV:28
LOC_EV_029,示例文本 EV 029,EN Sample EV 029,UI/Game,EV:29
LOC_EV_030,示例文本 EV 030,EN Sample EV 030,UI/Game,EV:30
LOC_UI_001,示例文本 UI 001,EN Sample UI 001,UI/Game,UI:1
LOC_UI_002,示例文本 UI 002,EN Sample UI 002,UI/Game,UI:2
LOC_UI_003,示例文本 UI 003,EN Sample UI 003,UI/Game,UI:3
LOC_UI_004,示例文本 UI 004,EN Sample UI 004,UI/Game,UI:4
LOC_UI_005,示例文本 UI 005,EN Sample UI 005,UI/Game,UI:5
LOC_UI_006,示例文本 UI 006,EN Sample UI 006,UI/Game,UI:6
LOC_UI_007,示例文本 UI 007,EN Sample UI 007,UI/Game,UI:7
LOC_UI_008,示例文本 UI 008,EN Sample UI 008,UI/Game,UI:8
LOC_UI_009,示例文本 UI 009,EN Sample UI 009,UI/Game,UI:9
LOC_UI_010,示例文本 UI 010,EN Sample UI 010,UI/Game,UI:10
LOC_UI_011,示例文本 UI 011,EN Sample UI 011,UI/Game,UI:11
LOC_UI_012,示例文本 UI 012,EN Sample UI 012,UI/Game,UI:12
LOC_UI_013,示例文本 UI 013,EN Sample UI 013,UI/Game,UI:13
LOC_UI_014,示例文本 UI 014,EN Sample UI 014,UI/Game,UI:14
LOC_UI_015,示例文本 UI 015,EN Sample UI 015,UI/Game,UI:15
LOC_UI_016,示例文本 UI 016,EN Sample UI 016,UI/Game,UI:16
LOC_AUD_001,示例文本 AUD 001,EN Sample AUD 001,UI/Game,AUD:1
LOC_AUD_002,示例文本 AUD 002,EN Sample AUD 002,UI/Game,AUD:2
LOC_AUD_003,示例文本 AUD 003,EN Sample AUD 003,UI/Game,AUD:3
LOC_AUD_004,示例文本 AUD 004,EN Sample AUD 004,UI/Game,AUD:4
LOC_AUD_005,示例文本 AUD 005,EN Sample AUD 005,UI/Game,AUD:5
LOC_AUD_006,示例文本 AUD 006,EN Sample AUD 006,UI/Game,AUD:6
LOC_AUD_007,示例文本 AUD 007,EN Sample AUD 007,UI/Game,AUD:7
LOC_AUD_008,示例文本 AUD 008,EN Sample AUD 008,UI/Game,AUD:8
LOC_AUD_009,示例文本 AUD 009,EN Sample AUD 009,UI/Game,AUD:9
LOC_AUD_010,示例文本 AUD 010,EN Sample AUD 010,UI/Game,AUD:10
LOC_AUD_011,示例文本 AUD 011,EN Sample AUD 011,UI/Game,AUD:11
LOC_AUD_012,示例文本 AUD 012,EN Sample AUD 012,UI/Game,AUD:12
LOC_AUD_013,示例文本 AUD 013,EN Sample AUD 013,UI/Game,AUD:13
LOC_AUD_014,示例文本 AUD 014,EN Sample AUD 014,UI/Game,AUD:14
LOC_AUD_015,示例文本 AUD 015,EN Sample AUD 015,UI/Game,AUD:15
LOC_AUD_016,示例文本 AUD 016,EN Sample AUD 016,UI/Game,AUD:16
LOC_AUD_017,示例文本 AUD 017,EN Sample AUD 017,UI/Game,AUD:17
LOC_AUD_018,示例文本 AUD 018,EN Sample AUD 018,UI/Game,AUD:18
LOC_AUD_019,示例文本 AUD 019,EN Sample AUD 019,UI/Game,AUD:19
LOC_AUD_020,示例文本 AUD 020,EN Sample AUD 020,UI/Game,AUD:20
LOC_VFX_001,示例文本 VFX 001,EN Sample VFX 001,UI/Game,VFX:1
LOC_VFX_002,示例文本 VFX 002,EN Sample VFX 002,UI/Game,VFX:2
LOC_VFX_003,示例文本 VFX 003,EN Sample VFX 003,UI/Game,VFX:3
LOC_VFX_004,示例文本 VFX 004,EN Sample VFX 004,UI/Game,VFX:4
LOC_VFX_005,示例文本 VFX 005,EN Sample VFX 005,UI/Game,VFX:5
LOC_VFX_006,示例文本 VFX 006,EN Sample VFX 006,UI/Game,VFX:6
LOC_VFX_007,示例文本 VFX 007,EN Sample VFX 007,UI/Game,VFX:7
LOC_VFX_008,示例文本 VFX 008,EN Sample VFX 008,UI/Game,VFX:8
LOC_VFX_009,示例文本 VFX 009,EN Sample VFX 009,UI/Game,VFX:9
LOC_VFX_010,示例文本 VFX 010,EN Sample VFX 010,UI/Game,VFX:10
LOC_VFX_011,示例文本 VFX 011,EN Sample VFX 011,UI/Game,VFX:11
LOC_VFX_012,示例文本 VFX 012,EN Sample VFX 012,UI/Game,VFX:12
LOC_VFX_013,示例文本 VFX 013,EN Sample VFX 013,UI/Game,VFX:13
LOC_VFX_014,示例文本 VFX 014,EN Sample VFX 014,UI/Game,VFX:14
LOC_VFX_015,示例文本 VFX 015,EN Sample VFX 015,UI/Game,VFX:15
LOC_VFX_016,示例文本 VFX 016,EN Sample VFX 016,UI/Game,VFX:16
LOC_VFX_017,示例文本 VFX 017,EN Sample VFX 017,UI/Game,VFX:17
LOC_VFX_018,示例文本 VFX 018,EN Sample VFX 018,UI/Game,VFX:18
LOC_VFX_019,示例文本 VFX 019,EN Sample VFX 019,UI/Game,VFX:19
LOC_VFX_020,示例文本 VFX 020,EN Sample VFX 020,UI/Game,VFX:20
