AbilityID,Name,Trigger,PowerA,CooldownSec,Target,Description,Tag,DesignerNote
AB_STEAL_GOLD_13,偷金·13,Periodic,0.18,1,Enemy/Map,偷取当前金币的一小部分,TAG_0,可被Boss/精英/传奇鼠共用能力 13
AB_CALL_HELP_14,呼叫支援·14,Periodic,0.21,1.5,Enemy/Map,召唤普通鼠,TAG_1,可被Boss/精英/传奇鼠共用能力 14
AB_PHASE_SHIFT_15,相位换洞·15,Periodic,0.24,2,Enemy/Map,Boss在洞口间转移,TAG_2,可被Boss/精英/传奇鼠共用能力 15
AB_GLOBAL_HASTE_16,全图加速·16,Aura,0.12,2.5,Enemy/Map,提高全图刷新速率,TAG_3,可被Boss/精英/传奇鼠共用能力 16
AB_ESCAPE_PEN_17,逃逸惩罚·17,OnEscape,0.15,1,Enemy/Map,玩家失去生命或连击,TAG_4,可被Boss/精英/传奇鼠共用能力 17
AB_CHAIN_SPARK_18,电花传导·18,OnHit,0.18,1.5,Enemy/Map,向邻洞传播伤害,TAG_5,可被Boss/精英/传奇鼠共用能力 18
AB_SPLIT_DEATH_19,裂变繁殖·19,OnDeath,0.21,2,Enemy/Map,死亡后分裂,TAG_0,可被Boss/精英/传奇鼠共用能力 19
AB_BOMB_DEATH_20,炸裂身亡·20,OnDeath,0.24,2.5,Enemy/Map,死亡爆炸,TAG_1,可被Boss/精英/传奇鼠共用能力 20
AB_STEAL_GOLD_21,偷金·21,Periodic,0.12,1,Enemy/Map,偷取当前金币的一小部分,TAG_2,可被Boss/精英/传奇鼠共用能力 21
AB_CALL_HELP_22,呼叫支援·22,Periodic,0.15,1.5,Enemy/Map,召唤普通鼠,TAG_3,可被Boss/精英/传奇鼠共用能力 22
AB_PHASE_SHIFT_23,相位换洞·23,Periodic,0.18,2,Enemy/Map,Boss在洞口间转移,TAG_4,可被Boss/精英/传奇鼠共用能力 23
AB_GLOBAL_HASTE_24,全图加速·24,Aura,0.21,2.5,Enemy/Map,提高全图刷新速率,TAG_5,可被Boss/精英/传奇鼠共用能力 24
AB_ESCAPE_PEN_25,逃逸惩罚·25,OnEscape,0.24,1,Enemy/Map,玩家失去生命或连击,TAG_0,可被Boss/精英/传奇鼠共用能力 25
AB_CHAIN_SPARK_26,电花传导·26,OnHit,0.12,1.5,Enemy/Map,向邻洞传播伤害,TAG_1,可被Boss/精英/传奇鼠共用能力 26
AB_SPLIT_DEATH_27,裂变繁殖·27,OnDeath,0.15,2,Enemy/Map,死亡后分裂,TAG_2,可被Boss/精英/传奇鼠共用能力 27
AB_BOMB_DEATH_28,炸裂身亡·28,OnDeath,0.18,2.5,Enemy/Map,死亡爆炸,TAG_3,可被Boss/精英/传奇鼠共用能力 28
AB_STEAL_GOLD_29,偷金·29,Periodic,0.21,1,Enemy/Map,偷取当前金币的一小部分,TAG_4,可被Boss/精英/传奇鼠共用能力 29
AB_CALL_HELP_30,呼叫支援·30,Periodic,0.24,1.5,Enemy/Map,召唤普通鼠,TAG_5,可被Boss/精英/传奇鼠共用能力 30
AB_PHASE_SHIFT_31,相位换洞·31,Periodic,0.12,2,Enemy/Map,Boss在洞口间转移,TAG_0,可被Boss/精英/传奇鼠共用能力 31
AB_GLOBAL_HASTE_32,全图加速·32,Aura,0.15,2.5,Enemy/Map,提高全图刷新速率,TAG_1,可被Boss/精英/传奇鼠共用能力 32
AB_ESCAPE_PEN_33,逃逸惩罚·33,OnEscape,0.18,1,Enemy/Map,玩家失去生命或连击,TAG_2,可被Boss/精英/传奇鼠共用能力 33
AB_CHAIN_SPARK_34,电花传导·34,OnHit,0.21,1.5,Enemy/Map,向邻洞传播伤害,TAG_3,可被Boss/精英/传奇鼠共用能力 34
AB_SPLIT_DEATH_35,裂变繁殖·35,OnDeath,0.24,2,Enemy/Map,死亡后分裂,TAG_4,可被Boss/精英/传奇鼠共用能力 35
AB_BOMB_DEATH_36,炸裂身亡·36,OnDeath,0.12,2.5,Enemy/Map,死亡爆炸,TAG_5,可被Boss/精英/传奇鼠共用能力 36
